BVP,EDA,HR,TEMP,Tin,Rhin,TSV
-0.04,0.13,75.87,32.97,22.7,21.8,0
0.03,0.24,85.97,33.1,22.6,21.7,0
0.08,0.24,80.46,33.13,22.6,22,0
-0.07,0.22,80.93,33.02,22.5,21.8,0
0.09,0.2,77.13,32.95,22.5,22,0
-0.02,0.18,82.96,32.9,22.5,21.9,0
0.04,0.17,84.69,32.86,22.4,22.1,0
0.14,0.16,83.94,32.82,22.4,22.4,0
-0.26,0.15,86.3,32.89,22.4,22.3,0
0.08,0.14,86.88,32.98,22.4,22.5,-1
-0.04,0.14,86.26,33.01,22.4,22.4,-1
-0.71,0.13,95.76,33.02,22.4,22.4,-1
2.06,0.16,120.86,33.08,22.4,22.4,-1
-1.29,0.17,91.11,33.21,22.4,22.3,-1
0.02,0.16,78.71,33.31,22.4,22.2,-1
-0.14,0.15,73.66,33.29,22.4,23.1,-1
2.56,0.14,69.84,33.2,22.5,23.2,-1
-2.45,0.13,70.81,33.16,22.5,22.7,-1
0.13,0.14,73.31,33.15,22.5,22.6,-1
-0.2,0.13,69.68,33.13,22.5,23,-1
0.25,0.13,71.12,33.07,22.5,22.6,-1
-0.1,0.13,70.37,33,22.5,22.5,-1
-0.06,0.13,71.76,32.98,22.6,22.9,-1
-0.12,0.13,68.77,32.94,22.6,22.7,-1
0.15,0.12,71.74,32.89,22.6,22.4,-1
0.02,0.12,75.79,32.84,22.6,22.3,-1
-0.02,0.12,76.35,32.81,22.7,22.3,-1
0.16,0.12,78.67,32.74,22.7,22.6,-1
-0.3,0.12,72.67,32.68,22.7,22.5,-1
0.1,0.12,73.03,32.61,22.7,22.3,-1
0.05,0.11,74.77,32.56,22.8,22.2,-1
-0.09,0.11,75.28,32.43,22.8,22.1,-1
0.01,0.12,77.32,32.39,22.8,22.1,-1
0.15,0.12,73.37,32.38,22.8,22.4,-1
-0.19,0.11,73.22,32.31,22.9,22.1,-1
-0.49,0.11,73.54,32.33,22.9,22.1,-1
0.66,0.11,74.04,32.32,22.9,22.1,-1
-0.8,0.11,74.63,32.1,22.9,22.2,-1
1.15,0.11,87.78,32.06,23,22.7,-1
0.35,0.12,90.41,32.05,23,22.9,0
-0.73,0.13,74.16,32.09,23,22.9,0
0.03,0.12,73.48,32.19,23.1,22.8,0
-0.13,0.12,75.12,32.11,23.1,22.9,0
-0.53,0.12,75.11,32.15,23.1,22.9,0
0.61,0.11,79.79,32.1,23.1,23.3,0
-1.95,0.12,75.21,32.08,23.2,23.2,0
1.69,0.11,78.01,32.04,23.2,23.1,0
0.56,0.1,79.23,32.04,23.2,23.1,0
-0.33,0.1,74.58,32.03,23.3,23,0
-0.72,0.11,79.71,32.1,23.3,22.8,0
0.52,0.11,77.3,32.07,23.3,22.9,0
-0.01,0.11,83.22,32.15,23.4,22.8,0
-0.15,0.11,74.62,32.16,23.4,22.7,0
0.29,0.11,85.23,32.12,23.4,22.6,0
0.01,0.11,98.45,32.19,23.4,22.4,-1
-0.03,0.11,85.44,32.22,23.5,23.4,-1
0.02,0.11,65.04,32.23,23.5,22.8,-1
0.32,0.12,69.37,32.23,23.5,22.6,-1
-0.33,0.15,76.73,32.09,23.5,22.7,-1
0.09,0.16,85.29,32.09,23.6,22.3,-1
0.15,0.16,85.33,32.12,23.6,22.7,-1
-0.14,0.13,74.12,32.18,23.6,22.9,-1
0.03,0.11,72.7,32.17,23.7,23.4,-1
-0.03,0.1,70.16,32.17,23.7,22.5,-1
-1,0.1,70.78,32.17,23.7,22.5,-1
1.3,0.11,62.92,32.19,23.7,22.4,-1
-0.11,0.11,72.7,32.21,23.8,22.3,-1
-1.07,0.1,71.14,32.27,23.8,22.8,-1
0.94,0.1,73.14,32.34,23.8,22.3,-1
0.09,0.1,74.99,32.25,23.8,22.1,0
-0.35,0.08,88.77,32.18,23.8,22.1,0
0.18,0.08,91.61,32.14,23.9,22.2,0
-0.01,0.09,77.81,32.13,23.9,22.3,0
-0.31,0.09,73.18,32.05,23.9,22.4,0
1.32,0.09,75.29,32.04,24,22.3,0
-1.09,0.09,78.88,32.05,24,22.3,0
0.23,0.08,68.82,31.96,24,22.2,0
-0.1,0.09,86.92,31.77,24,22.2,0
-0.35,0.08,101.1,31.75,24.1,22.6,0
0.28,0.09,124.38,31.77,24.1,22.3,0
-0.36,0.08,128.17,31.78,24.1,22.2,0
1.1,0.09,93.6,31.76,24.1,22.2,0
-1.01,0.09,88.97,31.76,24.2,22.1,0
0.24,0.1,66.86,31.74,24.2,22.3,0
-0.28,0.1,68.11,31.79,24.2,22.2,0
1.11,0.1,70.25,31.86,24.2,22.4,0
-0.78,0.1,75.14,31.91,24.2,22.3,0
-0.44,0.09,73.35,31.91,24.3,22.3,0
0.45,0.09,75.66,31.88,24.3,22.8,0
-0.06,0.1,77.94,31.88,24.3,22.2,0
0.38,0.1,74.05,31.9,24.3,22.6,0
-0.02,0.09,76.06,31.87,24.3,22.3,0
-0.32,0.09,72.38,31.82,24.3,22.4,0
-0.13,0.08,83.51,31.64,24.4,22.4,0
-0.16,0.09,77.97,31.64,24.4,22.3,0
0.27,0.09,72.35,31.76,24.4,22.2,0
2.32,0.09,72.97,31.77,24.4,22.3,0
-2.22,0.08,72.55,31.62,24.4,22.3,0
