BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.2,0.86,101.01,36.26,28.7,40.2,1
-0.29,0.86,97.91,36.23,28.7,40.1,1
-1.16,0.85,98.65,36.24,28.7,40.2,1
1.22,0.83,100.26,36.2,28.7,40.3,1
-0.16,0.79,106.64,36.2,28.7,40.3,1
0.09,1.38,104.26,36.14,28.7,40.3,1
-0.56,2.28,113.46,36.2,28.7,40.3,1
1.21,2.81,104.66,36.24,28.7,40.3,1
-0.06,2.94,100.52,36.25,28.7,40.3,1
-0.66,1.28,97.27,36.12,28.7,40.4,1
0.14,1.33,96.89,36.23,28.6,40.1,1
0.07,1.68,103.55,36.29,28.6,40.3,1
0.12,2.03,103.55,36.37,28.6,40.2,1
-0.22,2.64,100.78,36.39,28.6,40.3,1
0.12,3.17,100.2,36.39,28.6,40.3,1
0.02,3.74,100.47,36.38,28.6,40.2,1
-0.06,4.29,103.14,36.36,28.6,40.2,1
-0.02,5.16,104.21,36.34,28.6,40.2,1
-0.57,5.42,102.11,36.3,28.6,40.3,1
-0.46,5.48,96.73,36.28,28.6,40.3,1
0.88,5.37,87.81,36.25,28.6,40.4,1
0.12,5.37,98.73,36.26,28.6,40.4,1
-0.1,5.28,103.61,36.25,28.6,40.5,1
0.08,5.31,96.67,36.28,28.6,40.5,1
0.06,5.15,99.14,36.28,28.6,40.6,1
0,5.32,101.15,36.27,28.6,40.6,1
0.06,4.61,105.5,36.19,28.6,40.4,1
-0.02,4.01,105.72,36.19,28.6,40.4,1
-0.32,4.33,99.68,36.19,28.6,40.4,1
0.26,4.17,101.89,36.17,28.5,40.5,1
0.09,3.94,103.46,36.16,28.5,40.5,1
-0.14,3.99,103.18,36.09,28.5,40.3,1
0.04,4.2,99.76,35.98,28.5,40.3,1
-0.04,4.28,101.54,36.03,28.5,40.3,1
0.03,4.49,103.91,36.05,28.5,40.4,1
-0.03,4.86,108.35,36.03,28.5,40.4,1
0.03,5.82,107.81,36.05,28.5,40.3,1
0.05,6.23,103.35,36.07,28.5,40.2,1
0.03,5.84,99.95,36.1,28.5,40.2,1
-0.01,5.12,100.08,36.07,28.5,40.1,1
-0.24,4.75,98.1,36.05,28.5,40.2,1
-0.5,4.29,97.3,36.04,28.5,40.3,1
0.57,4.09,100.73,36.07,28.5,40.1,1
0.21,3.58,94.3,36.01,28.5,40.2,1
-0.13,3.77,84.19,36.02,28.5,40.3,1
-0.01,3.63,97.47,36.03,28.5,40.3,1
0.03,3.44,100.78,36.03,28.5,40.5,1
0.08,3.26,101.88,36.01,28.5,40.5,1
-0.04,3.22,92.14,35.99,28.5,40.4,1
0.26,3.02,94.34,35.96,28.5,40.4,1
-0.37,2.86,99.11,35.91,28.5,40.3,1
-0.2,2.81,97.58,35.89,28.4,40.2,1
0.45,2.69,100.21,35.92,28.4,40.2,1
-0.97,2.6,103.66,35.92,28.4,40.3,1
0.86,2.51,100.22,35.92,28.4,40.3,1
-0.15,2.5,99.42,35.95,28.4,40.3,1
0.17,2.43,99.79,35.96,28.4,40.5,1
-0.12,2.39,101.38,35.96,28.4,40.3,1
-0.23,2.39,98.98,35.93,28.4,40.2,1
0.16,2.78,95.08,35.92,28.4,40.2,1
0.21,3.53,104.38,35.88,28.4,40.2,1
-1.31,4.07,102.5,35.74,28.4,40.1,1
1.24,4.4,97.12,35.7,28.4,40.1,1
0.03,5.15,97.91,35.68,28.4,40.2,1
-0.06,6.15,96.45,35.6,28.4,40.1,1
-0.17,6.67,99.97,35.77,28.4,40,1
-0.06,6.43,100.91,35.86,28.3,40,1
0.17,6.57,102.29,35.83,28.3,40.2,1
-0.47,7.23,102.87,35.79,28.3,40.1,1
