Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.22,23.8,37,27.2,55.3,997.4,0.7,261.6,0.06,-3.4,-18.3,4.4239999999999995
0.23,23.7,37,27.2,54.4,997.4,1.5,325.8,0.06,-3.5,-17.4,5.604
0.23,23.7,37,27.2,54.5,997.4,1.2,322.0,0.03,-3.5,-17.5,4.718999999999999
0.22,23.6,37,27.2,54.9,997.4,1.4,327.4,0.06,-3.6,-17.9,6.194
0.22,23.6,37,27.3,55.6,997.3,1.2,6.8,0.04,-3.7,-18.6,2.065
0.22,23.6,37,27.3,54.7,997.3,1.4,17.4,0.03,-3.7,-17.7,7.669
0.21,23.6,37,27.2,54.3,997.3,2.1,346.7,0.05,-3.6,-17.3,1.77
0.22,23.6,37,27.1,53.7,997.3,2.3,332.5,0.05,-3.5,-16.7,2.065
0.23,23.6,37,27.1,54.3,997.3,1.9,319.5,0.06,-3.5,-17.3,1.77
0.22,23.6,37,27.1,54.6,997.3,1.6,335.4,0.07,-3.5,-17.6,7.079
0.22,23.7,38,27.0,54.0,997.2,1.9,247.7,0.07,-3.3,-16.0,16.518
0.22,23.6,38,27.1,54.9,997.2,2.0,271.7,0.07,-3.5,-16.9,14.748
0.22,23.6,38,27.2,55.4,997.2,2.1,257.5,0.07,-3.6,-17.4,24.776999999999997
0.22,23.7,38,27.3,55.3,997.2,2.8,256.9,0.06,-3.6,-17.3,22.416999999999998
0.22,23.7,38,27.3,54.0,997.2,2.5,280.3,0.06,-3.6,-16.0,23.302
0.22,23.6,38,27.4,54.5,997.2,2.2,260.0,0.06,-3.8,-16.5,10.619000000000002
0.22,23.6,38,27.5,54.4,997.2,1.7,276.9,0.06,-3.9,-16.4,7.669
0.22,23.7,38,27.5,54.0,997.2,1.7,270.4,0.04,-3.8,-16.0,20.647
0.22,23.6,39,27.6,54.4,997.2,2.1,270.5,0.04,-4.0,-15.4,24.482
0.22,23.7,39,27.6,54.3,997.2,2.6,237.1,0.05,-3.9,-15.3,15.927999999999999
0.22,23.7,39,27.5,52.9,997.2,3.2,252.8,0.06,-3.8,-13.9,22.712
0.21,23.7,39,27.4,52.9,997.1,2.2,286.7,0.06,-3.7,-13.9,9.439
0.21,23.6,39,27.4,54.2,997.1,2.2,272.1,0.07,-3.8,-15.2,10.914000000000001
0.21,23.6,39,27.5,54.3,997.1,1.8,297.2,0.06,-3.9,-15.3,22.416999999999998
